file,language,size,line_count,vuln_count,top_vulns
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/python_samples/p2.py,.py,62,2,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/python_samples/p3.py,.py,52,2,1,Hardcoded password
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/python_samples/p4.py,.py,88,2,1,Unsafe deserialization
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/python_samples/p5.py,.py,94,2,2,Dependency: requests; TLS verification disabled
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/python_samples/p6.py,.py,4113,146,6,Dependency: requests; Hardcoded secret/token; TLS verification disabled
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/python_samples/p7.py,.py,3434,89,1,Unsafe deserialization
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/python_samples/py_multi1.py,.py,396,16,4,Dependency: requests; Hardcoded password; TLS verification disabled
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/python_samples/py_multi2.py,.py,100,6,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/python_samples/python_test1.py,.py,70,3,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/python_samples/sql_injection1.py,.py,379,18,1,Hardcoded password
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/python_samples/sql_injection2.py,.py,302,15,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/safe_test.c,.c,1367,58,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/test_bad.c++,.c++,411,20,1,Hardcoded secret/token
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/tests_c_tests_bad_test.c,.c,856,40,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/tests_c_tests_bad_test_1.c,.c,856,40,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/tests_c_tests_good1.c,.c,2851,95,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/tests_c_tests_test_bad.c,.c,411,20,1,Hardcoded secret/token
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/requirements.txt,.txt,33,3,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/vuln_dataset.csv,.csv,11803,77,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/vuln_dataset.jsonl,.jsonl,952509,76,22,Path traversal sequence; Potential log format injection; TLS verification disabled
